,Demographics,,,,,,,,,,,,,,,,Employment,,,,,,Disability.Status,,,,,,Mental.Health,,,,,,,,COVID.Vaccine.and.Long.COVID,,,,,,Society.and.Arts,,,,,,,,,,Childcare,,,,,,,,Housing,,,,,,Health.Insurance,,Food.Security,,,,,,Internet.Security,,,,,,
SCRAM,EST_ST,EST_MSA,REGION,TBIRTH_YEAR,RHISPANIC,RRACE,EEDUC,MS,EGENID_BIRTH,SEXUAL_ORIENTATION_RV,THHLD_NUMPER,THHLD_NUMKID,TENROLLPUB,TENROLLPRV,TENROLLHMSCH,INCOME,WRKLOSSRV,ANYWORK,KINDWORK,RSNNOWRKRV,TWDAYS,TWDAYS_RESP,SEEING,HEARING,MOBILITY,REMEMBERING,SELFCARE,UNDERSTAND,ANXIOUS,WORRY,INTEREST,DOWN,MHLTH_NEED,MHLTH_GET,MHLTH_SATISFD,MHLTH_DIFFCLT,RECVDVACC,RVACCDATE,HADCOVIDRV,SYMPTOMS,LONGCOVID,SYMPTMIMPCT,SOCIAL1,SOCIAL2,SUPPORT1,SUPPORT2,SUPPORT3,SUPPORT4_RV,LIVENTERTAINMENT,ARTEXHIBIT,MOVIES,PARTINARTS,CHILDCARE,CHILDCARE_RSLT1,CHILDCARE_RSLT2,CHILDCARE_RSLT3,CHILDCARE_RSLT4,CHILDCARE_RSLT5,CHILDCARE_RSLT6,CHILDCARE_RSLT7,TENURE,LIVQTRRV,RENTCHNG,RENTCUR,MORTCUR,ENERGY,PRIVHLTH,PUBHLTH,EXPNS_DIF,CURFOODSUF,FREEFOOD,FDBENEFIT1,FDBENEFIT2,FDBENEFIT3,HOME_INTERNET,MOBILE_INTERNET,REDUCED_INT1,REDUCED_INT2,REDUCED_INT3,REDUCED_INT4,CANCEL_INTERNET
P090028001,Michigan,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1960,No,White,Graduate degree,5,1,2,1,0,0,0,0,4,2,2,6,5,4,4,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,3,3,2,3,1,2,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090028002,Georgia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1995,No,White,Bachelor's degree,5,1,3,1,0,0,0,0,5,2,1,2,10,1,1,1,1,1,2,1,1,3,2,1,2,4,4,4,6,1,1,1,3,3,3,2,4,3,3,1,5,1,2,2,1,3,3,3,3,3,3,3,3,2,6,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028005,Nebraska,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1998,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,2,2,1,2,10,1,1,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,4,3,1,4,5,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,3,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090028010,Mississippi,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1960,No,Black,High school graduate or equivalent,1,2,2,2,0,0,0,0,3,2,2,6,5,4,4,2,1,1,2,1,3,2,2,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,1,2,3,2,2,2,2,3,3,3,3,3,3,3,3,1,1,7,3,4,2,1,3,3,2,2,2,2,2,2,1,2,2,1,2,2
P090028011,Oregon,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1963,No,White,Graduate degree,2,1,2,2,0,0,0,0,6,2,2,6,9,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,1,1,1,1,1,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028014,California,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1944,No,White,Some college (but degree not received or is in progress),1,1,2,1,0,0,0,0,4,2,2,6,5,4,4,1,2,2,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,5,4,3,1,4,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028016,Massachusetts,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1946,No,White,Associate's degree,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,5,4,2,3,5,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090028017,Florida,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1942,No,White,Bachelor's degree,2,2,2,1,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,2,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,3,3,1,1,2,1,2,2,3,3,3,3,3,3,3,3,1,5,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028021,Kansas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1957,No,White,High school graduate or equivalent,1,1,2,2,0,0,0,0,4,2,2,6,5,4,4,2,1,2,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,4,5,4,4,2,4,1,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090028025,Michigan,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1958,No,White,High school graduate or equivalent,1,1,2,3,0,0,0,0,3,2,2,6,5,4,4,2,1,2,2,1,2,4,1,3,1,4,4,4,6,1,1,2,5,5,5,4,2,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,2,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028027,Vermont,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1968,No,White,Some college (but degree not received or is in progress),3,2,2,1,0,0,0,0,1,2,2,6,4,4,4,1,2,1,3,1,1,2,2,3,2,4,4,4,6,1,1,2,5,5,5,4,3,2,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,6,3,1,3,2,2,1,3,2,2,1,2,2,1,1,1,2,2,2,3
P090028030,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1948,Yes,White,High school graduate or equivalent,1,2,2,3,0,0,0,0,4,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,3,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028033,Wyoming,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1966,No,White,High school graduate or equivalent,1,1,2,2,0,0,0,0,2,1,2,6,4,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,5,4,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028036,Louisiana,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1973,Yes,White,High school graduate or equivalent,5,2,2,1,0,0,0,0,1,2,2,6,9,4,4,2,1,2,2,1,1,2,3,2,2,4,4,4,6,1,1,2,5,5,5,3,2,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,6,6,1,3,1,2,1,4,1,2,1,2,2,1,1,2,2,2,2,3
P090028038,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1954,No,White,High school graduate or equivalent,3,2,2,1,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,3,4,3,4,5,1,2,1,2,3,3,3,3,3,3,3,3,1,7,7,3,4,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090028060,Missouri,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1950,No,White,Bachelor's degree,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,2,2,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,4,3,3,2,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,2,2,2,2,2,5
P090028063,Nebraska,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1946,No,Other,Some college (but degree not received or is in progress),1,1,2,2,0,0,0,0,4,1,2,6,5,4,4,2,2,2,3,1,1,3,3,2,2,4,4,4,6,1,3,1,4,3,2,3,4,3,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090028064,Georgia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1953,No,Black,Bachelor's degree,5,2,2,5,2,1,0,0,3,1,2,6,8,4,4,2,1,2,2,1,1,2,1,1,1,3,5,5,7,2,4,2,5,5,5,1,3,4,1,2,4,2,2,2,3,2,2,2,2,2,2,2,2,1,2,7,3,4,2,3,1,3,2,2,2,1,2,1,1,2,2,2,2,5
P090028065,Nebraska,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1949,No,White,Associate's degree,4,1,2,1,0,0,0,0,1,2,2,6,5,4,4,2,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,3,3,3,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,1,3,4,1,1,2,1,2,2,2,2,2,1,2,2,2,2,5
P090028076,Kansas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1956,No,White,Associate's degree,1,1,2,1,0,0,0,0,2,2,2,6,6,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,3,2,4,1,2,2,2,4,3,3,3,3,3,3,3,3,1,2,7,3,4,1,2,1,3,3,2,2,2,2,1,1,2,2,2,2,5
P090028081,Alabama,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1953,No,Black,Graduate degree,2,2,2,3,0,0,0,0,4,2,2,6,5,4,4,2,1,2,2,1,1,2,2,2,2,4,4,4,6,1,1,2,5,5,5,1,4,2,4,2,1,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028095,Missouri,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1937,No,White,Some college (but degree not received or is in progress),2,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,2,3,2,2,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,3,1,1,2,2,2,2,4,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,3,2,2,2,2,2,2,1,1,2,2,2,2,5
P090028122,Minnesota,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1961,No,White,Bachelor's degree,1,1,2,2,0,0,0,0,5,2,1,2,10,3,3,1,1,1,1,1,1,1,2,1,2,4,4,4,6,1,2,2,5,5,5,2,4,1,2,1,5,1,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,3,1,2,2,2,2,1,1,2,2,2,2,5
P090028127,Idaho,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1989,Yes,Other,Graduate degree,5,1,2,2,0,0,0,0,8,2,1,3,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,3,5,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,4,2,2,2,2,2,1,1,2,2,2,2,5
P090028129,Kansas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1958,No,White,Graduate degree,1,2,2,2,0,0,0,0,6,2,2,6,5,4,4,1,2,1,1,1,1,2,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,1,3,4,1,1,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028131,Utah,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1951,No,White,Some college (but degree not received or is in progress),1,1,2,3,1,1,0,0,5,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,3,5,5,7,1,1,2,5,5,5,2,5,2,1,2,4,2,2,1,3,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090028146,Georgia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1971,No,White,Graduate degree,5,2,2,4,0,0,0,0,4,2,1,3,10,3,3,1,1,1,1,1,1,2,1,2,2,4,4,4,6,1,1,2,5,5,5,4,3,4,4,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090028147,Utah,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1961,No,White,Some college (but degree not received or is in progress),1,1,2,2,0,0,0,0,6,2,1,4,10,3,3,2,1,1,1,1,1,2,1,1,1,4,4,4,6,1,2,2,5,5,5,1,4,4,1,1,1,2,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028167,Arizona,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1948,No,White,Bachelor's degree,1,1,3,2,0,0,0,0,5,2,2,6,5,1,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,3,2,1,3,2,2,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028172,District of Columbia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1959,No,White,Graduate degree,5,1,2,1,0,0,0,0,8,2,1,4,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,4,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,6,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028174,Delaware,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1969,No,White,Graduate degree,1,1,2,4,1,1,0,0,7,2,1,2,10,2,2,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,3,2,5,5,5,1,5,2,2,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090028176,New Mexico,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1945,No,White,Bachelor's degree,3,1,2,1,0,0,0,0,4,2,2,6,5,4,4,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,4,4,2,1,1,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028179,Pennsylvania,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1957,No,White,High school graduate or equivalent,3,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,2,2,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,5,3,3,1,3,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090028180,New Mexico,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1950,No,White,Some college (but degree not received or is in progress),3,2,2,1,0,0,0,0,1,2,2,6,5,4,4,1,1,3,1,1,1,2,2,1,1,4,4,4,6,1,1,2,5,5,5,3,4,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,1,1,3,4,3,1,2,1,2,1,2,2,1,1,1,2,2,2,3
P090028184,Ohio,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1995,No,White,Graduate degree,1,2,2,2,0,0,0,0,8,2,2,6,1,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,4,3,2,5,1,2,2,1,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028185,California,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1960,No,White,Some college (but degree not received or is in progress),3,2,2,2,0,0,0,0,4,2,2,6,5,1,4,1,2,2,1,1,1,1,2,1,1,4,4,4,6,1,3,1,4,3,1,3,3,3,2,2,4,1,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090028186,New York,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1977,No,White,Bachelor's degree,5,1,2,1,0,0,0,0,1,2,2,6,9,4,4,1,1,1,1,1,1,2,2,1,2,4,4,4,6,1,3,2,5,5,5,5,3,1,2,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,6,3,2,3,4,2,2,4,2,2,2,2,2,1,1,2,2,2,2,5
P090028193,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1954,No,White,Bachelor's degree,3,1,4,1,0,0,0,0,6,2,1,5,10,1,1,3,2,2,2,2,1,4,3,4,4,4,4,4,6,1,2,1,4,1,2,4,1,2,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,3,2,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090028198,Idaho,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1959,No,White,Bachelor's degree,2,1,2,2,0,0,0,0,7,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,3,3,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090028206,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1981,No,White,Bachelor's degree,5,2,2,2,1,1,0,0,2,1,2,6,9,4,4,1,1,1,1,1,1,2,2,1,1,3,5,5,7,1,1,2,5,5,5,4,2,3,1,1,1,2,2,2,4,2,2,2,2,2,2,2,2,3,2,4,2,3,2,2,1,4,4,2,1,2,2,1,1,2,2,2,1,2
P090028221,New York,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1959,Yes,White,Bachelor's degree,1,2,2,2,0,0,0,0,2,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,5,5,4,4,2,5,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090028225,West Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1971,No,White,Some college (but degree not received or is in progress),2,2,2,2,0,0,0,0,1,2,2,6,4,4,4,1,1,2,2,2,1,4,4,4,4,4,4,4,6,2,4,2,5,5,5,5,1,2,1,1,1,2,2,2,4,3,3,3,3,3,3,3,3,3,2,4,2,3,1,2,1,4,4,2,1,2,2,1,1,2,1,2,2,1
P090028232,New Mexico,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1952,No,White,Graduate degree,3,2,2,2,0,0,0,0,1,2,2,6,4,4,4,2,2,3,2,2,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,3,7,3,1,3,2,1,4,2,2,2,2,2,1,1,1,2,2,2,1
P090028234,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1978,No,White,Associate's degree,1,2,2,3,1,1,0,0,5,2,2,6,4,4,4,1,1,2,3,2,1,2,1,2,2,3,5,5,7,1,2,2,5,5,5,4,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,7,3,1,3,1,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090028236,Alabama,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1956,No,White,Bachelor's degree,1,1,2,2,0,0,0,0,6,1,1,4,10,2,3,2,3,2,2,1,1,1,1,1,1,4,4,4,6,1,2,1,3,3,1,2,5,3,2,2,4,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,3,2,2,2,2,2,1,1,1,2,2,2,2
P090028240,Mississippi,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1952,No,Black,Bachelor's degree,4,1,2,1,0,0,0,0,5,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,3,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,1,4,7,3,4,4,1,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090028257,Colorado,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1976,No,White,Associate's degree,1,1,2,4,0,0,0,0,6,2,1,2,10,1,1,1,1,2,2,1,1,2,2,1,2,4,4,4,6,1,1,1,3,3,2,3,3,3,1,1,1,1,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,2,1,3,3,2,2,2,2,2,1,1,2,2,2,2,5
P090028270,Pennsylvania,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1988,No,White,Bachelor's degree,5,1,2,2,0,0,0,0,5,2,2,6,1,3,4,1,1,1,1,1,1,2,1,1,2,4,4,4,6,1,1,2,5,5,5,2,4,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,1,3,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028272,Tennessee,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1952,No,White,Bachelor's degree,1,2,2,1,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,2,2,4,3,1,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,2,2,2,2,2,5
P090028286,Georgia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1967,No,White,Bachelor's degree,1,1,2,2,0,0,0,0,6,2,1,2,10,2,2,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,5,4,3,4,5,1,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028287,Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1950,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,2,2,2,6,5,4,4,2,1,2,2,1,1,2,2,3,2,4,4,4,6,1,1,2,5,5,5,3,4,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,2,1,2,1,4,3,2,1,2,2,1,1,2,2,2,1,1
P090028292,Wisconsin,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1939,No,White,Bachelor's degree,2,2,2,1,0,0,0,0,4,2,2,6,5,4,4,1,2,2,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,4,2,1,5,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028297,Missouri,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1956,No,White,Associate's degree,1,2,2,1,0,0,0,0,4,2,2,6,5,4,4,2,1,1,2,1,1,1,3,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,3,1,1,3,1,2,2,2,2,1,1,2,2,2,2,5
P090028303,California,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1957,No,White,Bachelor's degree,1,1,2,2,0,0,0,0,7,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,1,1,4,5,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028304,Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1957,No,Black,Some college (but degree not received or is in progress),1,1,2,5,0,0,0,0,5,2,2,6,5,4,4,2,2,3,2,2,2,2,2,2,2,4,4,4,6,1,3,2,5,5,5,3,3,1,1,1,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,3,2,2,2,2,1,1,2,2,2,2,5
P090028305,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1971,No,White,Bachelor's degree,1,1,2,4,2,0,0,2,6,2,1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,3,2,5,5,5,1,5,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,5
P090028306,North Carolina,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1980,No,White,Graduate degree,5,2,2,1,0,0,0,0,5,2,1,3,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,2,1,1,5,2,2,1,1,3,3,3,3,3,3,3,3,3,6,2,1,3,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028310,Oklahoma,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1937,No,White,Graduate degree,5,2,2,1,0,0,0,0,8,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028315,Kansas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1963,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,8,2,2,6,5,1,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,4,4,2,1,2,1,2,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,3,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028317,Vermont,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1952,No,White,Some college (but degree not received or is in progress),1,2,2,2,0,0,0,0,5,2,2,6,5,4,4,2,1,2,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,2,5,2,1,4,1,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090028321,Idaho,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1950,No,White,Some college (but degree not received or is in progress),1,1,2,2,0,0,0,0,2,2,2,6,5,4,4,2,2,2,1,1,1,1,1,4,1,4,4,4,6,1,1,2,5,5,5,3,4,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090028324,South Carolina,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1979,No,White,High school graduate or equivalent,3,1,2,1,0,0,0,0,1,2,2,6,9,4,4,1,1,3,3,2,2,2,2,2,2,4,4,4,6,1,3,2,5,5,5,3,3,3,2,4,1,2,2,2,2,3,3,3,3,3,3,3,3,3,4,1,1,3,4,2,1,2,1,2,1,2,2,1,1,2,2,2,2,5
P090028332,Utah,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1969,No,White,High school graduate or equivalent,1,2,2,2,0,0,0,0,4,2,2,6,9,3,4,1,2,2,1,1,1,1,1,2,1,4,4,4,6,1,2,2,5,5,5,5,3,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
