,Demographics,,,,,,,,,,,,,,,,Employment,,,,,,Disability Status,,,,,,Mental Health,,,,,,,,COVID Vaccine and Long COVID,,,,,,Society and Arts,,,,,,,,,,Childcare,,,,,,,,Housing,,,,,,Health Insurance,,Food Security,,,,,,Internet Security,,,,,,
P090030936,24,,,1954,1,1,3,1,1,2,2,0,0,0,0,7,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,1,2,3,3,2,5,3,4,1,5,1,1,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090030964,9,,,1981,1,1,7,5,1,2,1,0,0,0,0,6,2,2,6,6,4,4,1,1,1,1,1,1,4,3,1,2,4,4,4,6,1,2,2,5,5,5,2,3,3,3,3,5,2,2,2,2,3,3,3,3,3,3,3,3,3,6,4,1,3,2,1,3,3,1,2,2,2,2,1,1,2,2,2,2,5
P090030965,56,,,1953,1,1,6,1,1,2,2,0,0,0,0,2,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,5,3,1,2,3,2,1,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090030966,48,19100,,1950,1,2,4,3,2,2,3,0,0,0,0,3,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,3,3,4,4,2,2,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090030969,8,,,1991,1,1,4,1,2,3,2,0,0,0,0,6,2,2,6,4,2,4,2,1,3,3,2,1,3,1,3,2,4,4,4,6,1,3,2,5,5,5,3,2,1,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090030970,16,,,1953,1,1,3,1,1,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,4,2,4,5,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090030975,26,19820,,1992,1,1,7,5,1,2,1,0,0,0,0,6,2,1,2,10,2,2,1,1,1,1,1,1,1,1,2,2,4,4,4,6,1,1,2,5,5,5,3,4,1,1,1,1,2,2,2,4,3,3,3,3,3,3,3,3,3,6,3,1,3,4,1,3,1,1,2,2,2,2,1,1,2,2,2,2,5
P090030977,17,16980,,1948,1,1,6,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,4,3,3,1,1,1,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090030981,54,,,1947,1,1,4,2,2,2,1,0,0,0,0,4,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,4,2,4,5,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090030985,46,,,1954,1,1,6,3,2,2,1,0,0,0,0,5,2,2,6,5,4,4,1,2,2,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,4,2,3,1,1,1,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,3,1,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090030986,23,,,1960,1,1,6,1,1,2,2,0,0,0,0,7,2,1,2,10,3,3,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,5,3,3,1,5,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090030987,30,,,1956,1,1,6,1,1,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,2,2,3,4,1,1,2,1,3,3,3,3,3,3,3,3,3,2,1,1,3,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090030991,49,,,1959,1,1,7,5,1,2,1,0,0,0,0,7,2,1,1,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,3,2,4,1,1,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090030995,6,41860,,1941,2,1,6,1,2,2,2,0,0,0,0,3,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,4,1,2,3,1,1,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031003,20,,,1962,1,2,3,3,1,2,1,0,0,0,0,1,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,2,2,3,4,2,2,2,1,3,3,3,3,3,3,3,3,3,6,3,1,3,4,3,1,1,1,1,1,2,2,2,1,1,1,2,2,3
P090031007,32,,,1962,1,1,6,3,2,3,4,0,0,0,0,3,2,2,6,4,4,4,2,1,3,2,2,1,2,2,1,2,4,4,4,6,1,3,2,5,5,5,2,3,1,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,6,3,1,3,2,2,1,2,1,2,1,2,2,1,1,1,2,2,2,2
P090031009,8,,,1962,1,1,4,1,1,1,2,0,0,0,0,5,2,2,6,4,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,4,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,6,1,1,3,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031012,47,,,1936,1,1,4,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,2,2,2,2,2,2,1,1,1,1,4,4,4,6,1,3,1,3,3,1,1,5,2,3,4,3,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031013,23,,,1976,1,1,4,5,2,2,2,0,0,0,0,1,2,2,6,4,2,4,2,2,2,2,2,1,3,2,4,3,4,4,4,6,1,1,2,5,5,5,3,3,2,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,4,6,1,3,1,2,1,4,4,2,2,2,2,1,1,2,2,2,2,5
P090031016,51,47900,,1961,1,3,7,1,1,2,2,0,0,0,0,8,2,1,1,10,2,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,3,3,3,2,2,1,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031023,41,,,1955,1,1,5,1,1,2,3,0,0,0,0,2,2,2,6,5,4,4,1,2,1,2,1,1,2,1,1,2,4,4,4,6,1,3,2,5,5,5,2,3,1,1,1,4,2,2,1,3,3,3,3,3,3,3,3,3,1,1,7,3,4,4,2,1,1,1,2,2,2,2,1,1,1,2,2,2,3
P090031038,5,,,1975,1,1,4,3,1,3,3,2,2,0,0,4,2,2,6,1,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,5,5,5,3,3,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031051,49,,,1971,1,1,5,1,2,2,2,0,0,0,0,6,2,1,2,10,2,3,2,2,2,3,1,1,2,2,2,2,4,4,4,6,1,3,2,5,5,5,3,3,2,1,4,5,2,2,2,2,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090031057,5,,,1959,1,1,4,1,1,2,2,0,0,0,0,6,1,1,3,10,1,1,1,1,1,1,1,1,3,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,3,2,4,5,1,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090031060,47,,,1994,1,1,4,1,2,2,4,2,1,0,0,5,2,1,1,10,1,1,1,1,1,2,1,1,2,1,1,1,3,5,5,7,2,4,1,2,3,2,1,4,2,2,4,5,2,2,2,3,2,2,2,2,2,2,2,2,2,2,7,3,1,2,1,2,4,2,2,2,2,2,1,1,2,2,2,2,5
P090031072,11,47900,,1955,1,2,4,5,2,2,1,0,0,0,0,1,2,2,6,5,4,4,1,1,1,2,1,1,2,2,1,2,4,4,4,6,1,1,2,5,5,5,3,3,3,2,3,4,2,1,2,3,3,3,3,3,3,3,3,3,3,6,3,1,3,4,1,1,2,2,1,1,2,2,1,1,2,2,2,2,5
P090031074,28,,,1981,1,2,4,5,2,2,3,0,0,0,0,1,2,2,6,4,4,4,2,1,3,2,2,1,4,4,4,3,4,4,4,6,2,4,2,5,5,5,5,2,1,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,2,1,1,3,1,1,2,4,4,1,1,2,2,1,1,1,2,2,2,2
P090031084,27,,,1993,1,1,6,4,2,1,1,0,0,0,0,3,2,1,1,10,3,3,2,1,2,2,2,1,2,1,1,1,4,4,4,6,1,1,1,2,3,1,3,2,2,1,1,3,1,2,2,1,3,3,3,3,3,3,3,3,3,6,1,1,3,4,1,2,2,2,2,2,2,2,1,1,2,2,2,2,5
P090031085,11,47900,,1975,1,2,7,3,2,2,2,1,1,0,0,6,2,1,1,10,1,1,1,1,1,2,1,1,2,4,1,2,3,5,5,7,1,2,2,5,5,5,3,2,3,1,1,4,2,2,1,2,2,2,2,2,2,2,2,2,2,6,7,3,1,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,5
P090031101,49,,,1959,1,1,7,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,1,1,4,1,4,4,4,6,1,1,2,5,5,5,2,4,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031105,32,,,1987,1,1,7,5,2,3,3,0,0,0,0,4,2,1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,1,2,1,2,1,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,3,3,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090031107,19,,,1969,1,1,3,3,2,2,2,0,0,0,0,2,2,1,2,10,2,2,2,1,1,2,1,1,4,3,3,3,4,4,4,6,1,2,1,3,2,2,3,2,3,2,2,1,2,2,1,3,3,3,3,3,3,3,3,3,1,2,7,3,4,3,1,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090031110,4,38060,,1968,1,1,7,1,2,2,2,0,0,0,0,8,2,1,3,10,1,1,2,1,1,2,1,1,4,4,4,4,4,4,4,6,1,3,2,5,5,5,3,4,3,1,4,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,3,1,2,2,2,2,1,1,2,2,2,2,5
P090031114,19,,,1951,1,1,3,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,5,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031116,12,33100,,1950,1,1,6,1,2,2,2,0,0,0,0,4,2,1,4,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,5,4,4,4,5,2,2,2,1,3,3,3,3,3,3,3,3,3,2,5,1,3,4,1,1,2,1,2,2,2,2,1,1,2,2,2,1,3
P090031117,48,19100,,1943,1,2,7,3,2,2,2,1,0,0,1,1,1,2,6,9,4,4,3,1,3,2,2,1,2,2,1,1,3,5,5,7,2,4,2,5,5,5,2,5,4,3,4,5,2,2,2,4,2,2,2,2,2,2,2,2,2,2,7,3,1,1,3,1,4,4,1,2,2,2,1,1,1,2,2,2,1
P090031128,28,,,1964,1,1,5,1,1,4,2,0,0,0,0,4,2,2,6,4,4,4,1,1,3,2,2,1,2,2,2,3,4,4,4,6,1,3,2,5,5,5,3,2,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,3,2,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090031134,35,,,1969,1,1,7,3,2,2,3,0,0,0,0,5,2,1,3,10,3,3,1,1,3,1,1,1,1,1,1,1,4,4,4,6,1,3,1,4,2,2,3,4,2,4,4,5,2,1,2,1,3,3,3,3,3,3,3,3,3,2,1,1,3,1,1,3,3,2,2,2,2,2,1,1,2,2,2,2,5
P090031145,51,,,1963,1,2,6,2,2,2,2,0,0,0,0,2,2,2,6,7,4,4,2,2,1,2,1,1,2,2,1,1,4,4,4,6,1,1,1,2,3,3,3,2,3,2,3,2,1,2,2,3,3,3,3,3,3,3,3,3,1,3,7,3,4,3,3,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090031148,22,,,1959,1,1,6,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,2,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,2,1,3,1,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031152,27,,,1999,1,1,7,5,2,2,2,0,0,0,0,5,2,1,2,10,1,1,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,2,2,1,3,1,2,2,1,3,3,3,3,3,3,3,3,3,4,4,1,3,4,1,3,2,1,2,2,2,2,1,1,2,2,2,2,5
P090031180,35,,,1960,1,1,3,1,2,2,2,0,0,0,0,5,2,1,2,10,3,4,2,2,3,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031184,6,40140,,1952,1,1,5,3,2,2,6,3,3,0,0,2,2,2,6,5,3,4,2,2,4,1,2,1,1,1,1,1,3,5,5,7,1,3,2,5,5,5,1,5,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,3,2,2,2,2,5
P090031187,5,,,1978,1,1,2,1,2,2,5,0,0,0,0,1,2,2,6,4,4,4,1,1,2,2,1,2,1,1,1,1,4,4,4,6,2,4,2,5,5,5,2,4,4,3,4,5,1,2,1,2,3,3,3,3,3,3,3,3,3,2,1,1,3,4,2,1,3,3,2,2,2,2,1,1,2,1,2,2,3
P090031192,55,,,1957,1,1,3,3,2,2,2,0,0,0,0,3,2,2,6,5,4,4,2,1,2,2,1,1,2,2,1,2,4,4,4,6,1,1,2,5,5,5,5,3,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,7,3,4,1,2,1,4,1,2,2,2,2,1,1,2,2,2,2,5
P090031196,5,,,1982,2,1,6,1,1,4,4,2,1,0,0,6,2,1,1,10,1,4,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,1,2,5,5,5,1,3,3,1,1,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,3,1,2,2,2,2,1,1,2,2,2,2,5
P090031199,24,47900,,1990,1,1,6,1,2,1,2,0,0,0,0,7,1,2,6,6,3,4,2,1,1,1,1,1,2,2,2,2,4,4,4,6,1,1,1,4,1,1,1,4,3,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,2,3,2,2,2,2,1,1,2,2,2,2,5
P090031200,10,,,1976,1,1,6,3,2,2,3,0,0,0,0,4,2,1,1,10,2,2,1,1,1,1,1,1,3,2,2,2,4,4,4,6,1,1,2,5,5,5,2,3,3,3,4,5,2,1,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090031211,6,31080,,2002,2,1,6,5,1,2,2,0,0,0,0,5,2,1,2,10,3,3,1,1,1,1,1,1,2,2,1,1,4,4,4,6,1,3,2,5,5,5,2,4,3,2,1,4,2,1,1,1,3,3,3,3,3,3,3,3,3,6,6,1,3,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031217,4,,,1970,1,1,4,5,2,2,2,0,0,0,0,1,2,2,6,9,4,4,2,2,4,2,2,1,2,2,3,3,4,4,4,6,1,3,2,5,5,5,3,3,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,3,2,1,3,3,2,2,2,2,1,1,2,2,2,2,5
P090031220,48,19100,,1967,1,1,6,1,1,2,2,0,0,0,0,6,2,1,2,10,1,1,2,2,1,1,1,1,2,1,1,2,4,4,4,6,1,3,1,3,3,2,1,5,4,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,2,1,2,4,1,2,2,2,2,1,1,2,2,2,2,5
P090031224,4,,,1936,1,1,7,1,1,2,2,0,0,0,0,8,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,2,1,3,3,1,1,1,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031225,19,,,1959,1,1,4,3,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,4,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031226,16,,,1958,1,4,6,5,1,2,1,0,0,0,0,3,2,2,6,5,4,4,1,1,2,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,1,1,1,5,2,1,2,2,3,3,3,3,3,3,3,3,1,1,7,3,4,4,3,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090031244,12,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",,1961,1,1,6,2,2,2,1,0,0,0,0,1,1,2,6,4,4,4,2,1,2,3,1,1,3,2,4,4,4,4,4,6,1,1,1,4,3,1,3,2,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,1,7,3,1,1,2,1,4,3,2,1,2,2,1,1,2,2,2,2,5
P090031245,12,,,1966,1,1,4,5,2,4,1,0,0,0,0,1,2,2,6,4,4,4,2,1,2,2,2,2,2,3,2,1,4,4,4,6,1,1,1,4,3,1,4,2,4,2,1,1,2,2,2,1,3,3,3,3,3,3,3,3,3,6,2,1,3,1,2,1,4,4,1,1,2,2,1,1,1,1,2,2,4
P090031246,12,,,1945,1,1,2,2,1,2,1,0,0,0,0,1,2,2,6,5,4,4,1,1,1,4,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,4,2,1,2,5,2,1,1,2,3,3,3,3,3,3,3,3,1,1,7,3,4,3,1,3,2,2,2,2,2,2,1,1,2,2,2,2,5
P090031249,24,,,1991,1,1,7,1,1,2,2,0,0,0,0,8,2,1,2,10,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,5,3,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,3,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031258,34,35620,,1995,1,1,6,1,1,1,2,0,0,0,0,8,2,1,2,10,3,3,1,1,1,1,1,1,4,3,2,1,4,4,4,6,1,1,2,5,5,5,2,3,2,1,1,1,2,1,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031261,5,,,1949,1,1,5,1,2,2,2,0,0,0,0,2,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,4,2,2,2,1,2,2,2,4,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,2,2,2,2,2,1,1,2,2,2,2,5
P090031262,13,12060,,1986,1,2,7,1,2,2,4,2,0,1,0,7,2,1,2,10,3,3,1,1,4,1,3,1,3,3,3,2,3,5,5,7,2,4,2,5,5,5,5,2,3,1,1,1,2,2,2,3,1,2,2,2,1,2,2,1,2,2,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090031263,40,,,1968,1,4,4,1,2,2,2,0,0,0,0,3,2,2,6,4,4,4,1,1,2,2,1,1,4,4,2,2,4,4,4,6,1,3,2,5,5,5,3,4,3,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,1,7,3,1,4,2,1,4,1,2,2,2,2,1,1,1,1,2,2,3
P090031271,8,,,1947,2,1,7,3,1,2,1,0,0,0,0,4,2,2,6,5,4,4,2,1,2,2,1,1,1,2,2,2,4,4,4,6,1,2,2,5,5,5,2,4,3,3,2,1,2,1,2,3,3,3,3,3,3,3,3,3,2,6,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031272,6,41860,,1983,1,4,6,1,2,2,4,2,1,0,0,8,2,1,3,10,3,2,1,1,1,2,1,1,2,1,2,2,3,5,5,7,1,1,1,2,3,2,2,5,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031275,22,,,1951,1,1,3,5,1,2,1,0,0,0,0,1,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,4,2,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,6,3,1,3,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090031276,37,,,1951,1,1,3,2,2,2,1,0,0,0,0,3,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,4,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,1,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031293,1,,,1998,1,1,4,5,1,4,1,0,0,0,0,1,2,2,6,4,4,4,2,1,1,1,2,1,4,4,4,4,4,4,4,6,1,3,2,5,5,5,5,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,3,1,2,1,2,2,1,1,2,2,2,2,5
P090031297,4,,,1964,1,1,5,1,1,2,2,0,0,0,0,8,2,2,6,1,4,4,1,2,2,2,1,1,2,2,2,2,4,4,4,6,1,2,1,3,3,2,2,4,3,1,1,3,2,1,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031300,42,,,1950,1,1,6,1,1,2,2,0,0,0,0,2,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,2,4,4,4,6,1,1,2,5,5,5,2,3,3,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031308,48,,,1956,1,1,3,1,2,2,2,0,0,0,0,5,2,2,6,4,4,4,3,2,3,2,2,2,4,4,3,2,4,4,4,6,1,3,2,5,5,5,4,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,3,2,2,2,2,2,1,1,2,2,2,1,4
P090031312,31,,,1959,1,1,6,3,1,2,1,0,0,0,0,4,2,2,6,5,4,4,2,2,1,2,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,4,4,1,1,4,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,3,1,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090031318,6,41860,,1975,1,1,6,1,1,2,1,0,0,0,0,8,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,5,4,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031336,22,,,1965,1,2,7,3,2,2,1,0,0,0,0,1,1,2,6,4,2,4,2,1,3,2,2,1,1,2,4,4,4,4,4,6,1,3,1,4,3,1,3,1,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,4,2,3,4,2,1,4,1,2,1,2,2,1,1,1,2,2,2,4
P090031339,37,,,1955,1,2,4,1,1,2,3,1,0,0,0,3,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,3,5,5,7,2,4,2,5,5,5,1,5,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031341,29,,,1948,1,1,7,3,2,2,1,0,0,0,0,3,2,1,4,10,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,4,3,2,1,2,2,1,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031348,33,,,1945,1,1,6,2,2,2,2,0,0,0,0,5,2,2,6,5,4,4,2,1,3,1,1,1,1,1,3,2,4,4,4,6,1,1,2,5,5,5,4,4,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031352,41,,,1952,1,1,7,1,2,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,2,1,1,1,4,4,4,6,1,2,2,5,5,5,2,4,3,2,3,5,1,1,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031353,9,,,1966,1,3,7,1,2,2,4,0,0,0,0,8,2,2,6,5,3,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,2,4,5,2,1,1,3,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031356,13,12060,,1963,1,1,6,1,2,2,3,0,0,0,0,8,2,2,6,1,2,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,1,3,3,2,2,3,4,2,1,1,2,2,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,3,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031365,5,,,1998,1,1,4,5,1,2,2,0,0,0,0,1,2,2,6,6,4,4,2,2,2,2,1,1,2,2,1,2,4,4,4,6,2,4,2,5,5,5,2,4,3,1,3,1,2,2,2,2,3,3,3,3,3,3,3,3,3,6,1,1,3,4,2,2,1,1,2,2,2,2,2,1,2,2,2,2,5
P090031368,31,,,1965,1,1,6,1,2,2,5,0,0,0,0,8,2,2,6,1,1,4,2,1,1,2,1,1,3,4,2,3,4,4,4,6,1,3,2,5,5,5,2,4,4,2,1,5,1,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031370,16,,,1957,1,1,4,1,2,2,2,0,0,0,0,3,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090031378,27,,,2000,1,1,6,5,1,3,3,0,0,0,0,2,2,1,1,10,3,1,1,2,1,2,1,1,4,4,2,3,4,4,4,6,1,3,2,5,5,5,3,3,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,6,1,1,3,4,1,3,2,2,2,2,2,2,1,1,2,2,2,2,5
